"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"PSA"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"ACD ApKa"	"ACD BpKa"	"ACD LogP"	"ACD LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA Lipinski"	"HBD Lipinski"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL1743048"	"OBINUTUZUMAB"	"AFUTUZUMAB|Afutuzumab|GA-101|GAZYVARO|HUMAB<CD20>|HUMABCD20|OBINUTUZUMAB|R-7159|RG-7159|RO 5072759|RO 5072759 HUMAB<CD20>"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3185229"	"MAGNESIUM CHLORIDE"	"MAGNESIUM CHLORIDE|Magnogene"	"Small molecule"	"4"	"203.3"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL"	"1"	""	""	""	""	"93.9227"	""	"H12Cl2MgO6"	"O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-]"
"CHEMBL3545096"	"BGT-226"	"BGT-226|NVP-BGT226"	"Small molecule"	"2"	"650.61"	"0"	""	"4.38"	"77.21"	"8"	"1"	"1"	"4"	"N"	"0.37"	""	"8.81"	"2.79"	"1.56"	"5"	"MOL"	"0"	"39"	"8"	"1"	"1"	"534.1991"	"BASE"	"C32H29F3N6O6"	"COc1ccc(cn1)c2ccc3ncc4N(C)C(=O)N(c5ccc(N6CCNCC6)c(c5)C(F)(F)F)c4c3c2.OC(=O)\C=C/C(=O)O"
"CHEMBL2108334"	"EPTACOG ALFA (ACTIVATED)"	"EPTACOG ALFA (ACTIVATED)"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201668"	"NESIRITIDE"	"NATRECOR|NESIRITIDE|NESIRITIDE RECOMBINANT|Nesiritide Recombinant|Nesiritide recombinant"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545062"	"VELPATASVIR"	"GS-5816|VELPATASVIR"	"Small molecule"	"4"	"883.02"	"0"	""	"7.73"	"193.1"	"10"	"4"	"2"	"11"	"N"	"0.1"	"10.76"	"6.11"	"5.05"	"5.03"	"6"	"MOL"	"0"	"65"	"16"	"4"	"3"	"882.4065"	"NEUTRAL"	"C49H54N8O8"	"COC[C@H]1C[C@H](N(C1)C(=O)[C@H](NC(=O)OC)c2ccccc2)c3nc(c[nH]3)c4ccc5c(COc6cc7c(ccc8nc([nH]c78)[C@@H]9CC[C@H](C)N9C(=O)[C@@H](NC(=O)OC)C(C)C)cc56)c4"
"CHEMBL3137342"	"DINUTUXIMAB"	"CH14.18|CH14.18-UTC|DINUTUXIMAB"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3039521"	"VINTAFOLIDE"	"EC145|VINTAFOLIDE"	"Small molecule"	"3"	"1917.07"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL"	"0"	""	""	""	""	"1915.7294"	""	"C86H109N21O26S2"	"CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)NNC(=O)OCCSSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CC[C@H](NC(=O)c%10ccc(NCc%11cnc%12NC(=NC(=O)c%12n%11)N)cc%10)C(=O)O)C(=O)O)C1"
"CHEMBL1200680"	"SELENIUM SULFIDE"	"EXSEL|LENIUM|SELENIUM SULFIDE|SELSUN|Selenium sulfide"	"Small molecule"	"4"	"143.09"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL"	"1"	""	""	""	""	"143.8607"	""	"S2Se"	"S=[Se]=S"
"CHEMBL2105743"	"OLODATEROL HYDROCHLORIDE"	"BI 1744 CL|OLODATEROL HYDROCHLORIDE|STRIVERDI RESPIMAT"	"Small molecule"	"4"	"422.91"	"0"	""	"2.38"	"100.05"	"6"	"4"	"0"	"7"	"N"	"0.58"	"9.42"	"9.06"	"2.55"	"0.86"	"2"	"MOL"	"0"	"28"	"7"	"4"	"0"	"386.1842"	"BASE"	"C21H27ClN2O5"	"Cl.COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3NC(=O)COc23)cc1"
"CHEMBL2109321"	"CAROTUXIMAB"	"CAROTUXIMAB|TRC-105|c-SN6j"	"Antibody"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3039543"	"ULOCUPLUMAB"	"BMS-936564|MDX-1338|ULOCUPLUMAB"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1615372"	"LURASIDONE HYDROCHLORIDE"	"LATUDA|LURASIDONE HYDROCHLORIDE|SM-13496"	"Small molecule"	"4"	"529.15"	"0"	""	"4.26"	"56.75"	"6"	"0"	"0"	"5"	"N"	"0.58"	""	"8.25"	"4.55"	"3.82"	"2"	"MOL"	"0"	"35"	"6"	"0"	"0"	"492.2559"	"NEUTRAL"	"C28H37ClN4O2S"	"Cl.O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]4CCCC[C@H]4CN5CCN(CC5)c6nsc7ccccc67"
"CHEMBL2108184"	"CROFELEMER"	"CROFELEMER|FULYZAQ|PROVIR|SP-303|VIREND"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201472"	"ICODEXTRIN"	"EXTRANEAL|ICODEXTRIN"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3544921"	"CERLIPONASE ALFA"	"BMN 190|Brineura|CERLIPONASE ALFA"	"Enzyme"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201775"	"SAPROPTERIN DIHYDROCHLORIDE"	"KUVAN|SAPROPTERIN DIHYDROCHLORIDE|SUN-0588 (SHIRATORI)|Sapropterin dihydrochloride|T1401 (BIOMARIN)"	"Small molecule"	"4"	"314.17"	"0"	""	"-1.29"	"136.55"	"8"	"6"	"1"	"2"	"N"	"0.38"	""	"11.39"	"0.03"	"-2.39"	"1"	"MOL"	"0"	"17"	"8"	"7"	"1"	"241.1175"	"BASE"	"C9H17Cl2N5O3"	"Cl.Cl.C[C@H](O)[C@H](O)[C@H]1CNC2=C(N1)C(=O)N=C(N)N2"
"CHEMBL3039520"	"LASMIDITAN"	"COL-144|LASMIDITAN|LY573144"	"Small molecule"	"3"	"377.37"	"0"	""	"3.28"	"62.3"	"4"	"1"	"0"	"4"	"N"	"0.83"	"9.91"	"8.1"	"1.99"	"1.25"	"2"	"MOL"	"0"	"27"	"5"	"1"	"0"	"377.1351"	"NEUTRAL"	"C19H18F3N3O2"	"CN1CCC(CC1)C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2"
"CHEMBL3039529"	"TIRASEMTIV"	"CK2017357|TIRASEMTIV"	"Small molecule"	"3"	"230.27"	"0"	""	"1.87"	"63.83"	"5"	"1"	"0"	"3"	"N"	"0.82"	"3.11"	"10.78"	"3.31"	"1.22"	"2"	"MOL"	"0"	"17"	"5"	"1"	"0"	"230.1168"	"ZWITTERION"	"C12H14N4O"	"CCC(CC)n1c(O)nc2ncc(nc12)C#C"
"CHEMBL1743081"	"TRALOKINUMAB"	"CAT-354|TRALOKINUMAB"	"Antibody"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3039544"	"TECEMOTIDE"	"BLP25|TECEMOTIDE"	"Protein"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1743063"	"RILOTUMUMAB"	"AMG-102|RILOTUMUMAB"	"Antibody"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108243"	"CORN OIL"	"CORN OIL|OLEUM MAYDIS"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108658"	"TREMELIMUMAB"	"CP-675,206|TICILIMUMAB|TREMELIMUMAB"	"Antibody"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108326"	"ALICAFORSEN"	"ALICAFORSEN"	"Oligonucleotide"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3544996"	"IDARUCIZUMAB"	"BI 655075|IDARUCIZUMAB|PRAXBIND"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3137347"	"VARLILUMAB"	"CDX-1127|VARLILUMAB"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109511"	"PF-00547659"	"PF-00547659"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3039583"	"PASIREOTIDE"	"PASIREOTIDE|SIGNIFOR|SOM230"	"Protein"	"4"	"1047.23"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"BOTH"	"0"	""	""	""	""	"1046.5014"	""	"C58H66N10O9"	"NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](NC(=O)[C@@H]4C[C@@H](CN4C(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](Cc6ccc(OCc7ccccc7)cc6)NC1=O)OC(=O)NCCN)c8ccccc8"
"CHEMBL2107870"	"PEGNIVACOGIN"	"PEGNIVACOGIN|RB006|REG1"	"Oligonucleotide"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3039523"	"VELEDIMEX"	"INXN-1001|VELEDIMEX"	"Small molecule"	"2"	"438.61"	"0"	""	"5.88"	"58.64"	"3"	"1"	"1"	"7"	"N"	"0.55"	"10.28"	""	"6.11"	"6.11"	"2"	"MOL"	"0"	"32"	"5"	"1"	"1"	"438.2882"	"NEUTRAL"	"C27H38N2O3"	"CCC[C@@H](N(NC(=O)c1cccc(OC)c1CC)C(=O)c2cc(C)cc(C)c2)C(C)(C)C"
"CHEMBL1201733"	"PAZOPANIB HYDROCHLORIDE"	"GW786034B|PAZOPANIB HYDROCHLORIDE|Pazopanib hydrochloride|VOTRIENT"	"Small molecule"	"4"	"473.99"	"0"	""	"3.14"	"119.03"	"8"	"2"	"0"	"5"	"N"	"0.49"	"10.2"	"6.13"	"3.12"	"3.1"	"4"	"MOL"	"0"	"31"	"9"	"3"	"0"	"437.1634"	"NEUTRAL"	"C21H24ClN7O2S"	"Cl.CN(c1ccc2c(C)n(C)nc2c1)c3ccnc(Nc4ccc(C)c(c4)S(=O)(=O)N)n3"
"CHEMBL1615835"	"MUPARFOSTAT"	"MUPARFOSTAT|PI-88"	"Oligosaccharide"	"3"	"2189.72"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL"	"0"	""	""	""	""	"2187.5501"	""	"C30H53O77PS16"	"OP(=O)(O)OC[C@H]1O[C@H](O[C@H]2[C@H](OS(=O)(=O)O)[C@@H](COS(=O)(=O)O)O[C@H](O[C@H]3[C@H](OS(=O)(=O)O)[C@@H](COS(=O)(=O)O)O[C@H](O[C@H]4[C@H](OS(=O)(=O)O)[C@@H](COS(=O)(=O)O)O[C@H](O[C@@H]5[C@@H](OS(=O)(=O)O)O[C@H](COS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@@H]5OS(=O)(=O)O)[C@H]4OS(=O)(=O)O)[C@H]3OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@@H]1OS(=O)(=O)O"
"CHEMBL3301587"	"DURVALUMAB"	"DURVALUMAB|Imfinzi|MEDI4736"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3989766"	"ORITAVANCIN DIPHOSPHATE"	"ORBACTIV|ORITAVANCIN DIPHOSPHATE"	"Unknown"	"4"	"1989.11"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL"	"0"	""	""	""	""	"1790.5641"	""	"C86H103Cl3N10O34P2"	"CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O[C@H]6C[C@](C)(N)[C@@H](O)[C@H](C)O6)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC1=O)c8ccc(O)c(c8)c9c(O)cc(O)cc9[C@H](NC7=O)C(=O)O)c3O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O[C@H]%11C[C@](C)(NCc%12ccc(cc%12)c%13ccc(Cl)cc%13)[C@@H](O)[C@H](C)O%11)c(Cl)c2.OP(=O)(O)O.OP(=O)(O)O"
"CHEMBL2106323"	"LACTOSE MONOHYDRATE"	"LACTOSE MONOHYDRATE"	"Small molecule"	"3"	"360.31"	"0"	""	"-5.4"	"189.53"	"11"	"8"	"2"	"4"	"N"	"0.24"	"12.02"	""	"-3.39"	"-3.39"	"0"	"MOL"	"0"	"23"	"11"	"8"	"2"	"342.1162"	"NEUTRAL"	"C12H24O12"	"O.OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O"
"CHEMBL2007641"	"PERTUZUMAB"	"OMNITARG|OmniTarg Perjeta|PERJETA|PERTUZUMAB|RG-1273|RHUMAB-2C4"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2103745"	"SAXAGLIPTIN"	"BMS-477118-11|ONGLYZA|SAXAGLIPTIN"	"Small molecule"	"4"	"333.43"	"0"	""	"1.16"	"90.35"	"4"	"2"	"0"	"2"	"N"	"0.8"	""	"8.3"	"0.2"	"-0.7"	"0"	"MOL"	"0"	"23"	"5"	"3"	"0"	"315.1947"	"NEUTRAL"	"C18H27N3O3"	"O.N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)C34CC5CC(CC(O)(C5)C3)C4"
"CHEMBL2108769"	"SAW PALMETTO"	"SAW PALMETTO"	"Unknown"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108035"	"INCOBOTULINUMTOXINA"	"INCOBOTULINUMTOXINA"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201544"	"IRON DEXTRAN"	"Armidexan|COSMOFER|DEXFERRUM|FERRUM|Ferran 100|IMFERON|INFED|IRON DEXTRAN|Nonemic|PROFERDEX"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2107841"	"ALBIGLUTIDE"	"ALBIGLUTIDE|EPERZAN|GSK716155"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108866"	"STARCH"	"BIO-SORB|CORN STARCH|POTATO STARCH|STARCH|WHEAT STARCH"	"Oligosaccharide"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2111029"	"OGLUFANIDE"	"OGLUFANIDE"	"Protein"	"2"	"333.34"	"0"	""	"0.47"	"145.51"	"4"	"5"	"0"	"8"	"N"	"0.47"	"3.09"	"8.51"	"-0.59"	"-4.16"	"2"	"MOL"	"0"	"24"	"8"	"6"	"1"	"333.1325"	"ZWITTERION"	"C16H19N3O5"	"N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O"
"CHEMBL2109433"	"MOR-103"	"MOR-103"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1743010"	"ELOTUZUMAB"	"BMS-901608|ELOTUZUMAB|HULUC63|PDL-063"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2107787"	"TESETAXEL"	"TESETAXEL"	"Small molecule"	"3"	"881.99"	"0"	""	"4.56"	"201.51"	"15"	"3"	"2"	"10"	"N"	"0.17"	"10.17"	"8.2"	"4.51"	"3.67"	"2"	"MOL"	"0"	"63"	"16"	"3"	"2"	"881.411"	"NEUTRAL"	"C46H60FN3O13"	"CN(C)C[C@@H]1O[C@H]2[C@@H](O1)[C@]3(C)CC[C@H]4OC[C@@]4(OC(=O)C)[C@H]3[C@H](OC(=O)c5ccccc5)[C@]6(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c7ncccc7F)C(=C2C6(C)C)C"
"CHEMBL2108110"	"THROMBIN"	"THROMBIN|THROMBOSTAT"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3544910"	"MOTEXAFIN GADOLINIUM"	"API-GP3|FP-GP1|GADOLINIUM TEXAPHYRIN|GD TEXAPHYRIN|Gd-Tex|MOTEXAFIN GADOLINIUM|PCI-0120|XCYTRIN"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1200837"	"LEVOBETAXOLOL HYDROCHLORIDE"	"AL1577A|BETAXON|LEVOBETAXOLOL HYDROCHLORIDE"	"Small molecule"	"4"	"343.9"	"0"	""	"2.39"	"50.72"	"4"	"2"	"0"	"11"	"N"	"0.62"	"13.89"	"9.43"	"2.53"	"0.43"	"1"	"MOL"	"0"	"22"	"4"	"2"	"0"	"307.2147"	"BASE"	"C18H30ClNO3"	"Cl.CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1"
"CHEMBL2108727"	"TALIMOGENE LAHERPAREPVEC"	"JS1 34.5-HGMCSF 47- PA-|ONCOVEX-AE|TALIMOGENE LAHERPAREPVEC"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1236802"	"XENON"	"XENON|Xenon"	"Small molecule"	"4"	"131.29"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL"	"1"	""	""	""	""	"131.9042"	""	"Xe"	"[Xe]"
"CHEMBL1201585"	"TRASTUZUMAB"	"4D5V8|HERCEPTIN|KADCYLA|R-597|TRASTUZUMAB|Trastuzumab"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3544929"	"PF-04965842"	"PF-04965842"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108791"	"TENECTEPLASE"	"METALYSE|TENECTEPLASE|TNK-TPA"	"Enzyme"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201575"	"EFALIZUMAB"	"ANTI-CD11A|EFALIZUMAB|HU1124|RAPTIVA"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545288"	"V81444"	"V81444"	"Small molecule"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108391"	"HONEY"	"HONEY"	"Unknown"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1908361"	"LEVOLEUCOVORIN CALCIUM"	"CALCIUM LEVOFOLINATE|CL 307,782|FUSILEV|LEVOLEUCOVORIN CALCIUM"	"Small molecule"	"4"	"511.51"	"0"	""	"-0.73"	"219.84"	"9"	"7"	"1"	"10"	"N"	"0.21"	"3.51"	"5.66"	"-1.43"	"-6.05"	"2"	"MOL"	"0"	"34"	"14"	"8"	"2"	"473.1659"	"ACID"	"C20H21CaN7O7"	"[Ca+2].NC1=NC(=O)C2=C(NC[C@H](CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])N2C=O)N1"
"CHEMBL2107877"	"BLISIBIMOD"	"A-623|BLISIBIMOD"	"Protein"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2107123"	"OGLUFANIDE DISODIUM"	"GLUFANIDE DISODIUM|IM862|OGLUFANIDE DISODIUM"	"Protein"	"2"	"377.31"	"0"	""	"0.47"	"145.51"	"4"	"5"	"0"	"8"	"N"	"0.47"	"3.09"	"8.51"	"-0.59"	"-4.16"	"2"	"MOL"	"0"	"24"	"8"	"6"	"1"	"333.1325"	"ZWITTERION"	"C16H17N3Na2O5"	"[Na+].[Na+].N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]"
"CHEMBL1743049"	"OLARATUMAB"	"IMC-3G3|LARTRUVO|OLARATUMAB"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1743059"	"RACOTUMOMAB"	"RACOTUMOMAB|Racotumomab"	"Antibody"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3039556"	"APATORSEN"	"APATORSEN|OGX-427"	"Oligonucleotide"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3707404"	"LUMRETUZUMAB"	"LUMRETUZUMAB|RG7116|RO5479599"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1200699"	"DOXYCYCLINE"	"DOXYCHEL|DOXYCYCLINE|DOXYCYCLINE HYDROCHLORIDE|GS-3065|MONODOX|ORACEA|VIBRAMYCIN"	"Small molecule"	"4"	"462.46"	"0"	""	"-0.35"	"181.62"	"9"	"6"	"1"	"2"	"N"	"0.33"	"4.5"	"10.84"	"1.78"	"-1.1"	"1"	"MOL"	"0"	"32"	"10"	"7"	"1"	"444.1533"	"ZWITTERION"	"C22H26N2O9"	"O.C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O"
"CHEMBL3544911"	"PREXASERTIB"	"LY2606368|PREXASERTIB"	"Small molecule"	"2"	"365.4"	"0"	""	"2.22"	"134.76"	"8"	"3"	"0"	"8"	"N"	"0.52"	"11.89"	"9.55"	"2.46"	"0.34"	"3"	"MOL"	"0"	"27"	"9"	"4"	"0"	"365.16"	"BASE"	"C18H19N7O2"	"COc1cccc(OCCCN)c1c2cc(Nc3cnc(cn3)C#N)n[nH]2"
"CHEMBL3137326"	"DUTETRABENAZINE"	"AUSTEDO|DEUTETRABENAZINE|DUTETRABENAZINE|SD-809"	"Small molecule"	"4"	"323.47"	"0"	""	"3.24"	"38.77"	"4"	"0"	"0"	"4"	"N"	"0.85"	""	"6.46"	"2.93"	"2.88"	"1"	"MOL"	"0"	"23"	"4"	"0"	"0"	"317.1991"	"NEUTRAL"	"C19H27NO3"	"[2H]C([2H])([2H])Oc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC([2H])([2H])[2H]"
"CHEMBL2108589"	"CLAZAKIZUMAB"	"ALD518|BMS-945429|CLAZAKIZUMAB"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201613"	"INSULIN GLULISINE"	"APIDRA|APIDRA SOLOSTAR|HMR 1964|INS APIDRA|INS APIDRA OPTICLIK|INS APIDRA OPTISET|INS APIDRA SOLOSTAR|INSULIN GLULISINE|INSULIN GLULISINE RECOMBINANT|Insulin Glulisine Recombinant|Insulin glulisine recombinant"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1743070"	"SILTUXIMAB"	"CLLB8|CNTO-328|SILTUXIMAB|SYLVANT"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201740"	"NILOTINIB HYDROCHLORIDE MONOHYDRATE"	"NILOTINIB HYDROCHLORIDE MONOHYDRATE|Nilotinib Hydrochloride Monohydrate|Nilotinib hydrochloride monohydrate|TASIGNA"	"Small molecule"	"4"	"584"	"0"	""	"6.36"	"97.62"	"7"	"2"	"2"	"6"	"N"	"0.27"	"12.94"	"5.63"	"4.42"	"4.41"	"5"	"MOL"	"0"	"39"	"8"	"2"	"2"	"529.1838"	"NEUTRAL"	"C28H25ClF3N7O2"	"O.Cl.Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F"
"CHEMBL1201821"	"PALIFERMIN"	"KEPIVANCE|PALIFERMIN"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
